EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65925770;1;01/10/2006;;1;1;""0","4"";""0","1"";""0","2435"";1;28;1;1;1;;0;""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","3"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/09/2006;;1;1;""0","5"";""0","2"";""0","2967"";2;1;1;1;1;;0;""0","2"";""0","5"";""0","4"";""0","35"";""0","3"";""0","3"";""0","3"";""0","3"";""0","4"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","5"";""0","4"";""0","35"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/08/2006;;1;1;""3","2"";""0","1"";""0","2855"";16;1;1;1;1;;0;""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""3","2"";""0","6"";""0","5"";""0","4"";""0","3"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/07/2006;;1;1;""0","3"";""0","1"";""0","1097"";9;1;1;1;1;;0;""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","3"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/06/2006;;1;1;""0","2"";""0","1"";""0","1067"";26;1;1;1;1;;0;""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/05/2006;;1;1;""0","2"";""0","1"";""0","1129"";1;2;1;1;1;;0;""0","2"";""0","1"";""0","1"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/04/2006;;1;1;""0","3"";""0","1"";""0","1817"";9;2;1;1;1;;0;""0","15"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/03/2006;;1;1;""0","2"";""0","1"";""0","1274"";10;1;1;1;1;;0;""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","15"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","15"";""0","2"";""0","2"";""0","1"";""0","15"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/02/2006;;1;1;""0","2"";""0","1"";""0","1518"";1;15;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","15"";""0","2"";""0","2"";""0","2"";""0","2"";""0","15"";""0","1"";""0","1"";""0","2"";""0","15"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;",,,
"65925770;1;01/01/2006;;1;1;""0","4"";""0","1"";""0","2"";23;10;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","2"";""0","4"";""0","3"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/12/2005;;1;1;""0","3"";""0","1"";""0","1903"";1;17;1;1;1;;0;""0","3"";""0","3"";""0","3"";""0","2"";""0","25"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/11/2005;;1;1;""0","6"";""0","2"";""0","3633"";1;29;1;1;1;;0;""0","6"";""0","5"";""0","5"";""0","5"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","3"";""0","4"";""0","35"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","25"";""0","2"";""0","4"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/10/2005;;1;1;""5","5"";""0","5"";""2","5968"";5;2;1;1;1;;0;""0","6"";""0","5"";""0","5"";""3","8"";""5","5"";""5","5"";""5","5"";""5","5"";""5","1"";""3","6"";""2","3"";""1","75"";""1","4"";""1","2"";""0","8"";""2","8"";""5","5"";""4","6"";""2","8"";""2","1"";""1","9"";""1","1"";""0","8"";""0","6"";""0","6"";""0","5"";""0","5"";""5","5"";""4","45"";""2","1"";""1","1"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/09/2005;;1;1;""5","5"";""0","4"";""1","5067"";4;27;1;1;1;;0;""3","8"";""1","4"";""0","6"";""5","5"";""4","2"";""2","9"";""2","5"";""0","8"";""0","6"";""0","55"";""1","4"";""0","8"";""0","6"";""3","0"";""4","7"";""2","75"";""1","9"";""1","2"";""0","6"";""0","6"";""0","5"";""0","5"";""0","5"";""0","5"";""0","6"";""0","5"";""0","4"";""0","4"";""0","4"";""0","5"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/08/2005;;1;1;""5","5"";""0","2"";""0","4032"";31;6;1;1;1;;0;""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","25"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","4"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","25"";""5","5"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/07/2005;;1;1;""1","0"";""0","3"";""0","4065"";22;8;1;1;1;;0;""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","5"";""0","4"";""0","4"";""0","4"";""0","3"";""1","0"";""0","8"";""0","6"";""0","5"";""0","5"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
